"No.","Model","Description","Notes","Last Update"
"1","AIRCRAFT","PK-ROA","Aircraft Type C172P","October 31, 2016"
"2","AIRCRAFT","PK-ROC","Aircraft Type C172P","October 31, 2016"
"3","AIRCRAFT","PK-ROD","Aircraft Type C172R","October 31, 2016"
"4","AIRCRAFT","PK-ROE","C172P","October 31, 2016"
"5","AIRCRAFT","PK-ROF","C172P","October 31, 2016"
"6","AIRCRAFT","PK-ROH","C172P","October 31, 2016"
"7","AIRCRAFT","PK-ROK","C172P","October 31, 2016"
"8","AIRCRAFT","PK-ROL","C172P","October 31, 2016"
"9","AIRCRAFT","PK-ROM","C172P","October 31, 2016"
"10","AIRCRAFT","PK-RON","C172P","October 31, 2016"
"11","AIRCRAFT","PK-ROO","C172P","UNKNOWN"
"12","AIRCRAFT","PK-ROP","C172P","UNKNOWN"
"13","AIRCRAFT","PK-ROQ","C172P","UNKNOWN"
"14","AIRCRAFT","PK-ROR","C172P","UNKNOWN"
"15","AIRCRAFT","PK-ROS","C172P","UNKNOWN"
"16","AIRCRAFT","PK-ROT","C172P","UNKNOWN"
"17","AIRCRAFT","PK-ROU","C172P","UNKNOWN"
"18","AIRCRAFT","PK-ROV","PA44-180T","October 31, 2016"
"19","AIRCRAFT","PK-ROW","PA44-180T","October 31, 2016"
"20","AIRCRAFT","PK-ROX","PA44-180T","October 31, 2016"